"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1964","32","08/08/1964","5","FL","Miami","0","73","5","3","2","16","47"
"1964","32","08/08/1964","9","CA","Fresno","3","42","3","2","4","9","24"
"1964","33","08/15/1964","8","UT","Salt Lake City","0","45","2","2","4","8","29"
"1964","33","08/15/1964","9","CA","San Diego","3","90","5","4","12","22","47"
"1964","34","08/22/1964","2","NJ","Camden","1","34","5","0","3","5","21"
"1964","34","08/22/1964","2","NJ","Jersey City","3","54","2","0","5","16","31"
"1964","35","08/29/1964","2","NY","Yonkers","2","26","3","0","1","3","19"
"1964","35","08/29/1964","6","AL","Montgomery","2","33","3","2","2","11","15"
"1964","36","09/05/1964","3","OH","Dayton","2","82","3","4","3","16","56"
"1964","36","09/05/1964","4","KS","Kansas City","3","50","6","4","5","8","27"
"1964","37","09/12/1964","2","NY","Utica","3","28","1","2","2","4","19"
"1964","37","09/12/1964","5","GA","Savannah","6","32","4","1","3","13","11"
"1964","38","09/19/1964","3","IL","Chicago","24","682","42","17","75","200","348"
"1964","38","09/19/1964","5","GA","Atlanta","3","164","12","7","20","55","70"
"1964","38","09/19/1964","9","WA","Tacoma","0","37","1","0","1","7","28"
"1964","39","09/26/1964","7","TX","Austin","6","43","5","2","1","7","28"
"1964","39","09/26/1964","9","CA","San Jose","1","40","1","0","2","15","22"
"1964","41","10/10/1964","3","IN","Indianapolis","4","145","8","5","13","38","81"
"1964","41","10/10/1964","8","AZ","Tucson","1","46","3","2","3","17","21"
"1964","42","10/17/1964","3","OH","Cleveland","4","210","9","2","11","61","127"
"1964","42","10/17/1964","4","MO","Kansas City","5","161","10","2","7","40","102"
"1964","42","10/17/1964","7","AR","Little Rock","1","43","2","2","1","15","23"
"1964","42","10/17/1964","7","LA","Baton Rouge","1","60","6","3","3","20","28"
"1964","42","10/17/1964","9","OR","Portland","1","100","6","4","4","29","57"
"1964","43","10/24/1964","1","RI","Providence","2","77","7","3","4","23","40"
"1964","43","10/24/1964","3","IN","South Bend","1","26","1","1","0","8","16"
"1964","44","10/31/1964","5","GA","Savannah","5","28","1","1","3","9","14"
"1964","45","11/07/1964","1","MA","Lynn","2","19","2","1","0","6","10"
"1964","45","11/07/1964","1","MA","Springfield","3","38","1","1","1","11","24"
"1964","47","11/21/1964","4","IA","Des Moines","5","57","7","1","2","9","38"
"1964","48","11/28/1964","2","PA","Reading","2","55","2","1","0","11","41"
"1964","48","11/28/1964","3","IL","Rockford","4","34","7","0","0","8","19"
"1964","48","11/28/1964","7","TX","Fort Worth","1","71","3","1","1","24","42"
"1964","49","12/05/1964","1","CT","Hartford","0","67","5","3","4","28","27"
"1964","49","12/05/1964","3","OH","Dayton","2","60","3","2","6","16","33"
"1964","49","12/05/1964","6","AL","Birmingham","1","104","12","6","8","30","48"
"1964","49","12/05/1964","8","CO","Denver","5","136","11","6","9","39","71"
"1964","50","12/12/1964","3","OH","Youngstown","0","69","5","2","10","19","33"
"1964","50","12/12/1964","9","WA","Tacoma","2","47","4","4","1","9","29"
"1964","51","12/19/1964","1","MA","Lynn","0","26","0","0","1","6","19"
"1965","52","01/01/1966","2","NY","Utica","10","37","2","1","2","8","24"
"1965","1","01/09/1965","3","IL","Chicago","46","904","74","26","71","261","472"
"1965","1","01/09/1965","3","IN","Evansville","2","35","2","0","0","10","23"
"1965","2","01/16/1965","5","FL","Saint Petersburg","3","92","2","1","4","15","70"
"1965","3","01/23/1965","6","AL","Mobile","2","54","6","3","7","11","27"
"1965","5","02/06/1965","2","PA","Philadelphia","21","500","20","12","30","134","304"
"1965","5","02/06/1965","4","KS","Wichita","7","39","1","2","1","9","26"
"1965","5","02/06/1965","5","GA","Savannah","3","34","0","1","2","16","15"
"1965","6","02/13/1965","4","MN","Minneapolis","1","116","5","2","7","28","74"
"1965","7","02/20/1965","7",NA,NA,"0","90","4","3","4","32","47"
"1965","7","02/20/1965","9","CA","Sacramento","1","91","7","4","2","25","53"
"1965","8","02/27/1965","2","NJ","Elizabeth","2","32","4","0","5","3","20"
"1965","9","03/06/1965","1","MA","Lowell","3","22","0","0","1","3","18"
"1965","9","03/06/1965","1","MA","Lynn","1","24","2","0","0","7","15"
"1965","9","03/06/1965","8","UT","Ogden","2","20","0","1","1","7","11"
"1965","11","03/20/1965","9","CA","Pasadena","0","35","5","1","1","5","23"
"1965","13","04/03/1965","1","MA","Fall River","1","37","2","2","1","7","25"
"1965","14","04/10/1965","2","NY","Schenectady","0","26","2","0","1","7","16"
"1965","14","04/10/1965","9","CA","San Francisco","6","183","12","2","6","67","96"
"1965","15","04/17/1965","1","CT","Hartford","1","50","4","1","6","9","30"
"1965","15","04/17/1965","1","CT","New Haven","0","55","4","3","6","11","31"
"1965","16","04/24/1965","3","IN","Gary","4","42","1","1","5","10","25"
"1965","17","05/01/1965","8","UT","Ogden","1","11","0","0","1","1","9"
"1965","18","05/08/1965","3",NA,NA,"0","46","3","1","3","15","24"
"1965","18","05/08/1965","7","OK","Tulsa","3","72","1","4","7","20","40"
"1965","19","05/15/1965","1","MA","Lowell","1","36","2","1","1","4","28"
"1965","19","05/15/1965","5","FL","Tampa","3","73","1","2","3","31","36"
"1965","20","05/22/1965","8","AZ","Tucson","1","28","1","1","1","11","14"
"1965","20","05/22/1965","9","WA","Tacoma","5","46","2","1","2","7","34"
"1965","21","05/29/1965","1","MA","Cambridge","1","29","1","1","1","6","20"
"1965","21","05/29/1965","1","MA","Lynn","0","23","2","2","0","5","14"
"1965","23","06/12/1965","5","DC","Washington","8","190","4","10","17","73","86"
"1965","24","06/19/1965","3","MI","Grand Rapids","2","50","4","0","2","10","34"
"1965","24","06/19/1965","5","NC","Charlotte","4","47","3","3","2","18","21"
"1965","24","06/19/1965","7","LA","New Orleans","0","170","19","5","17","45","84"
"1965","24","06/19/1965","8","AZ","Tucson","2","43","2","0","3","8","30"
"1965","24","06/19/1965","9","WA","Seattle","4","120","6","2","8","34","70"
"1965","25","06/26/1965","9","CA","Los Angeles","9","483","26","20","35","141","261"
"1965","26","07/03/1965","5","GA","Savannah","0","30","3","1","2","16","8"
"1965","27","07/10/1965","2","NY","New York","45","1508","74","52","97","418","867"
"1965","27","07/10/1965","2","PA","Pittsburgh","4","156","6","5","12","52","81"
"1965","27","07/10/1965","3","OH","Cleveland","1","179","13","5","10","65","86"
"1965","27","07/10/1965","6","AL","Montgomery","4","23","0","1","2","8","12"
"1965","28","07/17/1965","9","CA","Fresno","0","29","2","1","0","5","21"
"1965","29","07/24/1965","6","AL","Mobile","2","41","6","3","5","13","14"
"1965","32","08/14/1965","3","OH","Columbus","2","128","4","2","16","45","61"
"1965","33","08/21/1965","3","IN","South Bend","2","34","1","0","1","9","23"
"1965","34","08/28/1965","6","AL","Montgomery","7","42","4","4","3","11","20"
"1965","35","09/04/1965","2","PA","Philadelphia","10","428","19","14","25","131","239"
"1965","35","09/04/1965","5","DC","Washington","10","183","3","6","16","60","98"
"1965","35","09/04/1965","6","AL","Mobile","1","54","5","0","5","14","30"
"1965","37","09/18/1965","5","GA","Atlanta","4","134","17","9","15","50","43"
"1965","37","09/18/1965","6","TN","Memphis","1","118","9","5","12","36","56"
"1965","39","10/02/1965","2","NY","Buffalo","4","145","6","7","5","40","87"
"1965","39","10/02/1965","9","CA","San Francisco","3","159","8","1","8","40","102"
"1965","40","10/09/1965","4","MN","Saint Paul","4","85","6","2","7","19","51"
"1965","43","10/30/1965","3","OH","Columbus","3","139","7","9","11","33","79"
"1965","43","10/30/1965","6",NA,NA,"9","111","13","6","7","24","61"
"1965","43","10/30/1965","9","WA","Seattle","5","149","11","3","6","39","90"
"1965","44","11/06/1965","3","MI","Detroit","21","373","14","9","19","107","224"
"1965","45","11/13/1965","1","MA","Somerville","3","13","0","0","0","4","9"
"1965","45","11/13/1965","3",NA,NA,"1","48","8","2","4","15","19"
"1965","46","11/20/1965","2","NJ","Jersey City","6","92","6","1","1","28","56"
"1965","46","11/20/1965","3","IN","Fort Wayne","0","43","3","2","4","10","24"
"1965","46","11/20/1965","3","OH","Youngstown","1","76","5","4","4","18","45"
"1965","47","11/27/1965","9","HI","Honolulu","0","31","4","2","4","9","12"
"1965","48","12/04/1965","2","NJ","Trenton","5","71","6","2","4","14","45"
"1965","48","12/04/1965","2","NY","Yonkers","5","31","0","0","0","5","26"
"1965","48","12/04/1965","3","IL","Peoria","0","29","3","0","4","7","15"
"1965","48","12/04/1965","8","AZ","Tucson","3","71","1","5","4","9","52"
"1965","50","12/18/1965","1","MA","New Bedford","1","37","0","0","2","7","28"
"1965","50","12/18/1965","2","PA","Scranton","1","34","2","0","2","10","20"
"1965","50","12/18/1965","3","OH","Cleveland","4","211","8","11","14","54","124"
"1965","50","12/18/1965","5","FL","Tampa","6","81","4","0","4","26","47"
"1965","50","12/18/1965","7","TX","Dallas","12","168","8","7","16","64","73"
"1965","51","12/25/1965","9","CA","San Diego","5","111","13","5","4","20","69"
"1966","1","01/08/1966","3","IL","Peoria","4","32","1","1","2","9","19"
"1966","2","01/15/1966","1","MA","Lowell","3","31","1","0","1","6","23"
"1966","2","01/15/1966","9","HI","Honolulu","0","51","5","3","5","11","27"
"1966","3","01/22/1966","7","TX","Austin","6","54","0","5","1","13","35"
"1966","4","01/29/1966","7","TX","Dallas","5","155","11","5","18","42","79"
"1966","6","02/12/1966","1","MA","Lynn","4","27","1","0","2","3","21"
"1966","6","02/12/1966","3","IN","Indianapolis","9","185","16","11","15","37","106"
"1966","8","02/26/1966","2","NJ","Trenton","2","57","4","0","5","18","30"
"1966","8","02/26/1966","4","MN","Saint Paul","5","72","7","0","3","13","49"
"1966","8","02/26/1966","9","CA","Glendale","2","22","0","0","0","5","17"
"1966","8","02/26/1966","9","CA","Pasadena","3","52","0","1","2","17","32"
"1966","9","03/05/1966","5","DC","Washington","9","191","10","10","15","69","87"
"1966","9","03/05/1966","9","WA","Seattle","12","198","5","7","20","52","114"
"1966","9","03/05/1966","9","WA","Tacoma","3","50","4","1","2","13","30"
"1966","11","03/19/1966","9","WA","Seattle","5","129","1","3","5","31","89"
"1966","12","03/26/1966","1","CT","Waterbury","0","26","4","0","1","5","16"
"1966","13","04/02/1966","6","AL","Birmingham","3","102","4","8","5","33","52"
"1966","13","04/02/1966","7","TX","Corpus Christi","0","29","1","3","2","8","15"
"1966","15","04/16/1966","2","NY","New York","96","1850","69","46","121","474","1140"
"1966","16","04/23/1966","9","CA","Pasadena","0","49","2","0","3","11","33"
"1966","17","04/30/1966","3","IN","Evansville","2","42","3","1","2","15","21"
"1966","17","04/30/1966","3","IN","South Bend","2","54","3","3","3","8","37"
"1966","19","05/14/1966","3","IN","South Bend","2","39","0","2","2","12","23"
"1966","20","05/21/1966","9","CA","Berkeley","1","22","0","0","1","6","15"
"1966","21","05/28/1966","7","OK","Tulsa","4","59","5","4","3","21","26"
"1966","22","06/04/1966","5","FL","Jacksonville","1","55","7","5","2","17","24"
"1966","23","06/11/1966","7","TX","Houston","4","231","15","11","23","79","103"
"1966","23","06/11/1966","9","WA","Spokane","0","41","5","2","0","8","26"
"1966","24","06/18/1966","2","NJ","Paterson","1","40","2","1","3","13","21"
"1966","24","06/18/1966","2","PA","Scranton","4","38","0","1","1","10","26"
"1966","24","06/18/1966","9","CA","San Jose","5","35","3","1","2","7","22"
"1966","25","06/25/1966","9","CA","Pasadena","0","39","1","0","1","12","25"
"1966","27","07/09/1966","2","NY","Buffalo","9","170","8","6","9","50","97"
"1966","27","07/09/1966","3","IN","South Bend","5","38","1","0","2","12","23"
