"Year","WEEK","Week Ending Date","REGION","State","City","Pneumonia and Influenza Deaths","All Deaths","<1 year (all cause deaths)","1-24 years (all cause deaths)","25-44 years","45-64 years (all cause deaths)","65+ years (all cause deaths)"
"1982","27","07/10/1982","9","CA","San Jose","12","160","2","8","11","41","98"
"1982","42","10/23/1982","3","IN","Fort Wayne","2","52","0","3","2","15","32"
"1983","1","01/08/1983","9","OR","Portland","11","115","1","2","4","16","92"
"1983","3","01/22/1983","4","MN","Saint Paul","3","90","0","1","1","13","75"
"1983","9","03/05/1983","5","FL","Jacksonville","14","135","4","2","6","46","77"
"1983","29","07/23/1983","4","NE","Lincoln","1","34","1","1","2","5","25"
"1983","32","08/13/1983","2","NY","Yonkers","4","34","1","1","1","4","27"
"1983","33","08/20/1983","7","LA","New Orleans","0","118","4","4","15","30","65"
"1983","35","09/03/1983","2","NY","Schenectady","0","18","0","0","3","1","14"
"1983","46","11/19/1983","7","TX","El Paso","8","65","4","1","7","10","43"
"1983","49","12/10/1983","5","GA","Savannah","5","51","0","0","4","14","33"
"1984","3","01/21/1984","6","TN","Nashville","9","148","5","5","8","54","76"
"1984","8","02/25/1984","3","OH","Cincinnati","22","133","5","4","7","29","88"
"1984","19","05/12/1984","5","FL","Miami","1","67","5","2","5","14","41"
"1984","20","05/19/1984","7","AR","Little Rock","6","75","1","1","3","18","52"
"1984","31","08/04/1984","7","TX","Corpus Christi","0","57","1","1","5","11","38"
"1984","48","12/01/1984","1","CT","Waterbury","3","33","0","0","1","7","25"
"1985","14","04/06/1985","1","MA","Fall River","2","24","0","1","2","3","18"
"1985","17","04/27/1985","8","CO","Colorado Springs","4","45","0","4","3","11","27"
"1985","46","11/16/1985","2","NY","New York","51","1354","26","28","149","266","885"
"1985","52","12/28/1985","2","NY","Albany","2","44","3","2","3","8","28"
"1986","6","02/08/1986","8","UT","Salt Lake City","1","38","1","1","3","10","23"
"1986","19","05/10/1986","3","IL","Chicago","18","448","12","21","39","102","274"
"1986","27","07/05/1986","1","RI","Providence","2","29","2","2","0","1","24"
"1986","28","07/12/1986","1","CT","Hartford","8","63","1","2","2","16","42"
"1986","37","09/13/1986","3","OH","Canton","2","42","1","2","1","7","31"
"1986","37","09/13/1986","9","CA","San Jose","11","185","6","9","21","43","106"
"1986","44","11/01/1986","3","IL","Rockford","7","41","2","2","0","11","26"
"1986","49","12/06/1986","8","CO","Colorado Springs","5","52","2","1","4","9","36"
"1987","7","02/21/1987","3","OH","Canton","4","37","3","1","1","6","26"
"1987","8","02/28/1987","9","CA","Pasadena","6","49","1","3","1","7","37"
"1987","15","04/18/1987","2","NJ","Newark","3","91","4","7","21","24","35"
